0,1,2,3,4,5
Совещательный орган при императоре в начале XX в,Сенат,Государственный совет,Консилия министров,Верховный тайный совет,2
Министр внутренних дел с 1904 г либерал автор проекта О мерах к усовершенствованию государственного порядка,Лорис Меликов,Святополк Мирский,Милюков,Витте,2
Какое из названных событий произошло 27 января 1904 г,подрыв флагманского корабля Петропавловск,высадка японских войск на Ляодунском полуострове,героический бой Варяга и Корейца,заключение Портсмутского мирного договора,3
Что из названного относится к результатам первой российской революции,появление многопартийности,формирование конституционной монархии,ликвидация сословного строя,введение рабочего контроля за производством,1
Для выхода из экономического кризиса вызванного Первой мировой войной российское правительство в конце 1916 г,ввело 8 часовой рабочий день в промышленности,ликвидировало помещичье землевладение,отменило выкупные платежи,ввело продовольственную разверстку,4
Творчество поэтов Гумилева Ахматовой Мандельштама в начале XX в относят к,акмеизму,футуризму,импрессионизму,реализму,1
Самое многочисленное сословие Российской империи,мещане,казачество,крестьянство,разночинцы,3
Усиление позиций России в Китае вызывало в первую очередь недовольство,США,Японии,Великобритании,Германии,2
Какое из названных событий произошло раньше других,восстание на броненосце Князь Потемкин Таврический,восстание на крейсере Очаков,стачка текстильщиков в Иваново Вознесенске,созыв первой Государственной думы,3
Отметьте о ком идет речь Дворянин политический деятель лидер октябристов Один из основателей партии Союз 17 октября Депутат а затем председатель III и IV Государственной думы,Столыпин,Милюков,Родзянко,Львов,3
Аграрная реформа Столыпина предусматривала,ликвидацию помещичьего землевладения,социализацию земли,создание частных крестьянских хозяйств,национализацию земли,3
Какое из перечисленных событий Первой мировой войны произошло в 1914 г,наступление русских войск в Галиции,отступление русских войск из Пруссии,наступление русских войск на Юго Восточном фронте,сдача противнику Риги,1
Какие из перечисленных требований были характерны для либеральных партий оформившихся в России в 1905 г,введение демократических свобод принципа разделения властей и решение земельного вопроса путем частичного отчуждения помещичьих земель,сохранение общинного существования и основ самодержавного строя решение рабочего вопроса путем создания системы социального страхования,провозглашение демократических свобод уничтожение самодержавного строя отмена выкупных платежей и национализация земли,провозглашение демократических свобод ликвидация самодержавия и социализация земли,1
Кто из названных ученых является создателем учения о ноосфере,Сеченов,Павлов,Жуковский,Вернадский,4
Название этого направления в поэзии происходит от греческого слова означающего высшую степень чего либо цветущую силу Это,акмеизм,футуризм,символизм,импрессионизм,1
Самый экономически могущественный класс российского общества в начале XX в,рабочий класс,буржуазия,интеллигенция,дворянство,2
Кто из названных государственных деятелей был сторонником экономического привлечения иностранных инвестиций и политического реформирования Российской империи,Витте,Плеве,Святополк Мирский,Путилов,1
Командующий русской сухопутной армией в русско японской войне 1904 1905 гг,Куропаткин,Рожественский,Кондратенко,Макаров,1
Слова Вам нужны великие потрясения нам нужна великая Россия принадлежат,Ленину,Столыпину,Витте,Милюкову,2
Что из названного было одной из целей России в Первой мировой войне,усиление влияния на Балканах,стремление расширить влияние в Юго Восточной Европе,усиление влияния в Манчьжурии,расширение территорий на Кавказе,1
За немедленное заключение демократического мира со всеми воюющими державами выступили,большевики,эсеры,кадеты,черносотенцы,1
Отметьте знаменитых актеров немого кино начала XX в,Голубкина и Скрябин,Шаляпин и Нежданова,Холодная и Мозжухин,Комиссаржевская и Немирович Данченко,3
В каком ряду названы поэты символисты,Блок Брюсов,Хлебников Маяковский,Гумилев Мандельштам,Есенин Клюев,1
По инициативе начальника Московского охранного отделения Зубатова были созданы,церковно приходские школы,легальные рабочие организации,подпольные политические организации,охранные отделения в полиции,2
Требования подготовки и осуществления пролетарской революции установления диктатуры пролетариата и построения социалистического общества содержались в программе,РСДРП,партии кадетов,неонародников,черносотенцев,1
Что из названного было одной из причин революции 1905 г,крестьянское малоземелье,сохранение сословного строя,недовольство крестьян общинными порядками,попытки государства ускорить разрушение общины,1
Участок земли выделенный крестьянину при выходе из общины с сохранением его двора в деревне назывался,хутором,отрубом,артелью,отрезком,2
Какое из названных событий произошло 1 августа 1914 г,Брусиловский прорыв,назначение верховным главнокомандующим императора Николая II,Германия объявила войну России,в Сербии был убит австрийский наследник,3
Кто из названных русских художников конца XIX начала XX в не входил в творческое общество Мир искусства,Бенуа,Сомов,Рерих,Коровин,4
В каком ряду перечислены имена талантливых крестьянских поэтов начала XX в,Бальмонт Блок Брюсов,Есенин Клюев Клычков,Гумилев Ахматова Мандельштам,Хлебников Бурлюк Крученых,2
Требования свержения самодержавия социализации земли установления народовластия и федеративного государства содержались в программе партии,большевиков,меньшевиков,кадетов,эсеров,4
Что из названного является одним из результатов революции 1905 1907 гг,создание конституционной монархии,ликвидация помещичьего землевладения,отмена выкупных платежей,введение 8 часового рабочего дня на предприятиях,3
Отметьте о ком идет речь Родился в обедневшей дворянской семье В 1889 г окончил юридический факультет Петербургского университета Отказавшись от профессорской карьеры в 1890 г поступил на службу в Министерство финансов а в 1905 г стал управляющим Крестьянским и Дворянским земельными банками В 1906 г перешел на службу в частные банки стал крупным финансистом и промышленником директор Русско Азиатского банка член правления акционерного общества Промет ряда заводов железных дорог и речных пароходств,Третьяков,Путилов,Гучков,Морозов,2
Какое из названных событий произошло в ходе кампании 1915 г,удачное наступление на фронте русских войск под командованием Брусилова,русская армия оставила Галицию польские земли входившие в состав империи часть Белоруссии,поражение русских армий под командованием Самсонова в Восточной Пруссии,взятие русской армией Эрзерума и Трапезунда,2
